Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U),意味,例文,,
determine,708,61.29,134,(動詞) 決定する、突き止める。,We need to **determine** the cause.,,
station,709,61.28,134,(名詞) 駅、局。,I'm going to the **station**.,,
population,710,61.28,134,(名詞) 人口。,The **population** of Tokyo is large.,,
fail,711,61.27,134,(動詞) 失敗する。,I don't want to **fail** the exam.,,
environment,712,61.27,134,(名詞) 環境。,We need to protect the **environment**.,,
production,713,61.25,133,(名詞) 生産。,Car **production** increased.,,
contract,714,61.24,133,(名詞/動詞) 契約、契約する。,We signed a **contract**.,,
player,715,61.22,132,(名詞) 選手、演奏者。,He is a good soccer **player**.,,
comment,716,61.22,132,(名詞/動詞) コメント、コメントする。,Do you have any **comments**?,,
enter,717,61.21,132,(動詞) 入る。,Please **enter** your password.,,
occur,718,61.2,132,(動詞) 起こる。,When did this **occur**?,,
alone,719,61.2,132,(形容詞/副詞) 一人で。,She likes to study **alone**.,,
significant,720,61.18,131,(形容詞) 重要な、かなりの。,It's a **significant** change.,,
drug,721,61.18,131,(名詞) 薬、麻薬。,This **drug** is very effective.,,
wall,722,61.17,131,(名詞) 壁。,The picture is on the **wall**.,,
series,723,61.17,131,(名詞) シリーズ、連続。,I watched a TV **series**.,,
direct,724,61.16,131,(形容詞/動詞) 直接の、指示する。,Please give me **direct** instructions.,,
success,725,61.15,130,(名詞) 成功。,I wish you **success**!,,
tomorrow,726,61.14,130,(副詞/名詞) 明日。,Let's meet **tomorrow**.,,
director,727,61.13,130,(名詞) 監督、取締役。,He is the film **director**.,,
clearly,728,61.13,130,(副詞) はっきりと。,Please speak **clearly**.,,
lack,729,61.12,129,(名詞/動詞) 不足、欠けている。,There is a **lack** of information.,,
review,730,61.12,129,(名詞/動詞) レビュー、見直す。,I read a good **review** of the movie.,,
depend,731,61.1,129,(動詞) ～次第である、頼る。,It **depends** on the weather.,,
race,732,61.1,129,(名詞) 競争、人種。,I won the **race**.,,
recognize,733,61.1,129,(動詞) 認識する、認める。,I didn't **recognize** him at first.,,
window,734,61.1,129,(名詞) 窓。,Please open the **window**.,,
purpose,735,61.09,128,(名詞) 目的。,What's the **purpose** of your visit?,,
department,736,61.09,128,(名詞) 部門、部署。,She works in the sales **department**.,,
gain,737,61.08,128,(動詞/名詞) 得る、利益。,I need to **gain** more experience.,,
tree,738,61.08,128,(名詞) 木。,There is a big **tree** in the garden.,,
college,739,61.07,128,(名詞) 大学、単科大学。,I'm going to **college** next year.,,
argue,740,61.07,128,(動詞) 議論する、口論する。,Don't **argue** with me.,,
board,741,61.06,128,(名詞) 板、委員会。,Write it on the **board**.,,
holiday,742,61.05,127,(名詞) 休日。,Happy **holiday**!,,
mark,743,61.05,127,(名詞/動詞) 印、点数、印をつける。,Please put a **mark** here.,,
church,744,61.02,127,(名詞) 教会。,I go to **church** every Sunday.,,
machine,745,61.02,126,(名詞) 機械。,This **machine** is very efficient.,,
achieve,746,61.02,126,(動詞) 達成する。,You can **achieve** your goals.,,
item,747,61.02,126,(名詞) 品目、項目。,Please check each **item**.,,
prove,748,61.02,126,(動詞) 証明する。,Can you **prove** it?,,
cent,749,61.02,126,(名詞) セント（通貨単位）。,I don't have a single **cent**.,,
season,750,61.01,126,(名詞) 季節。,My favorite **season** is spring.,,
floor,751,61.01,126,(名詞) 床、階。,The book fell on the **floor**.,,
stuff,752,61.01,126,(名詞) 物、こと（口語）。,I have a lot of **stuff** to do.,,
wide,753,61.01,126,(形容詞) 幅広い。,The river is very **wide**.,,
anyone,754,61.01,126,(代名詞) 誰か、誰でも。,Is **anyone** home?,,
method,755,61.01,126,(名詞) 方法。,What's the best **method**?,,
analysis,756,61,126,(名詞) 分析。,We need to do a thorough **analysis**.,,
election,757,60.99,126,(名詞) 選挙。,The **election** will be held next month.,,
military,758,60.99,126,(名詞/形容詞) 軍隊、軍の。,He joined the **military**.,,
hotel,759,60.99,126,(名詞) ホテル。,I booked a **hotel** room.,,
club,760,60.99,126,(名詞) クラブ、棒。,I joined a book **club**.,,
below,761,60.99,126,(前置詞/副詞) ～の下に、下に。,The temperature is **below** zero.,,
movie,762,60.99,126,(名詞) 映画。,Let's watch a **movie**.,,
doctor,763,60.98,125,(名詞) 医者。,I need to see a **doctor**.,,
discussion,764,60.98,125,(名詞) 議論。,We had a long **discussion**.,,
sorry,765,60.98,125,(形容詞) 申し訳ない。,I'm **sorry** for being late.,,
challenge,766,60.98,125,(名詞/動詞) 挑戦、課題。,It's a big **challenge**.,,
nation,767,60.96,125,(名詞) 国家。,The United **Nations** promotes peace.,,
nearly,768,60.96,125,(副詞) ほとんど、危うく。,I'm **nearly** finished.,,
statement,769,60.95,125,(名詞) 陳述、声明。,He made a public **statement**.,,
link,770,60.95,124,(名詞/動詞) 連結、関連する、リンク。,Please click on the **link**.,,
despite,771,60.94,124,(前置詞) ～にもかかわらず。,**Despite** the rain, we went out.,
introduce,772,60.94,124,(動詞) 紹介する、導入する。,Let me **introduce** myself.,,
advantage,773,60.94,124,(名詞) 利点。,What are the **advantages** and disadvantages?,,
ready,774,60.94,124,(形容詞) 準備ができた。,Are you **ready**?,,
marry,775,60.93,124,(動詞) 結婚する。,She wants to **marry** him.,,
strike,776,60.93,124,(動詞/名詞) 打つ、攻撃、ストライキ。,The clock **struck** midnight.,,
mile,777,60.92,124,(名詞) マイル。,It's about 10 **miles** away.,,
seek,778,60.92,123,(動詞) 探す、求める。,We are **seeking** new opportunities.,,
ability,779,60.9,123,(名詞) 能力。,She has a great **ability** to learn.,,
unit,780,60.9,123,(名詞) 単位、部隊。,The meter is a unit of length.,,
card,781,60.89,123,(名詞) カード。,I have a credit **card**.,,
hospital,782,60.88,123,(名詞) 病院。,She works at a **hospital**.,,
quickly,783,60.86,122,(副詞) 素早く。,Please do it **quickly**.,,
interview,784,60.86,122,(名詞/動詞) 面接、インタビューする。,I have an **interview** tomorrow.,,
agreement,785,60.85,122,(名詞) 合意、協定。,We reached an **agreement**.,,
release,786,60.85,122,(動詞/名詞) 解放する、発表する、リリース。,They will **release** a new album next month.,,
tax,787,60.85,122,(名詞/動詞) 税金、課税する。,I need to pay my **taxes**.,,
solution,788,60.85,122,(名詞) 解決策、解答。,We found a **solution** to the problem.,,
capital,789,60.83,121,(名詞) 首都、資本。,Tokyo is the **capital** of Japan.,,
popular,790,60.82,121,(形容詞) 人気のある。,This song is very **popular**.,,
specific,791,60.82,121,(形容詞) 特定の、明確な。,Please be more **specific**.,,
beautiful,792,60.82,121,(形容詞) 美しい。,She has a **beautiful** voice.,,
fear,793,60.81,121,(名詞/動詞) 恐れ、恐れる。,I have a **fear** of heights.,,
aim,794,60.81,121,(名詞/動詞) 目的、目指す。,Our **aim** is to improve customer satisfaction.,,
television,795,60.81,120,(名詞) テレビ。,I like to watch **television**.,,
serious,796,60.81,120,(形容詞) 真剣な、深刻な。,This is a **serious** problem.,,
target,797,60.8,120,(名詞/動詞) 目標、標的、目標とする。,Our **target** is to increase sales by 10%.,,
degree,798,60.78,120,(名詞) 程度、学位、度（温度）。,I have a bachelor's **degree**.,,
pull,799,60.77,120,(動詞) 引っ張る。,Please **pull** the door.,,
red,800,60.77,119,(形容詞/名詞) 赤い、赤。,She wears a **red** dress.,,
husband,801,60.77,119,(名詞) 夫。,Her **husband** is a kind man.,,
access,802,60.77,119,(名詞/動詞) アクセス、利用する。,Do you have **access** to the internet?,,
movement,803,60.75,119,(名詞) 動き、運動。,The anti-war **movement** is growing.,,
treat,804,60.74,119,(動詞/名詞) 扱う、治療する、おごり。,How should I **treat** this problem?,,
identify,805,60.73,118,(動詞) 特定する、識別する。,Can you **identify** the person?,,
loss,806,60.72,118,(名詞) 損失。,We suffered a great **loss**.,,
shall,807,60.72,118,(助動詞) ～しましょうか。,**Shall** we go?,,
modern,808,60.7,117,(形容詞) 現代の、近代的な。,I like **modern** art.,,
pressure,809,60.7,117,(名詞) 圧力、プレッシャー。,I feel a lot of **pressure**.,,
bus,810,60.69,117,(名詞) バス。,I take the **bus** to work.,,
treatment,811,60.69,117,(名詞) 治療、扱い。,She is receiving medical **treatment**.,,
conference,812,60.68,117,(名詞) 会議。,I attended a business **conference**.,,
yourself,813,60.67,117,(代名詞) あなた自身。,Do it **yourself**!,,
supply,814,60.66,116,(名詞/動詞) 供給、供給する。,The **supply** of water is limited.,,
village,815,60.65,116,(名詞) 村。,I grew up in a small **village**.,,
worth,816,60.64,116,(形容詞) 価値がある。,It's **worth** trying.,,
natural,817,60.64,116,(形容詞) 自然の、当然の。,It's a **natural** phenomenon.,,
express,818,60.64,116,(動詞) 表現する、急行の。,Please **express** your feelings.,,
indicate,819,60.64,116,(動詞) 示す、指摘する。,The sign **indicates** the way.,,
attend,820,60.63,116,(動詞) 出席する、通う。,I will **attend** the meeting.,,
brother,821,60.63,116,(名詞) 兄弟。,I have one **brother**.,,
investment,822,60.63,116,(名詞) 投資。,It was a good **investment**.,,
score,823,60.62,115,(名詞/動詞) 得点、得点する。,What's the **score**?,,
organize,824,60.62,115,(動詞) 組織する、準備する。,We need to **organize** the event.,,
trip,825,60.62,115,(名詞) 旅行。,I'm going on a **trip** next week.,,
beyond,826,60.62,115,(前置詞/副詞) ～を超えて、～の向こうに。,It's **beyond** my understanding.,,
sleep,827,60.61,115,(動詞/名詞) 眠る、睡眠。,I need to **sleep**.,,
fish,828,60.6,115,(名詞/動詞) 魚、魚を釣る。,I like to eat **fish**.,,
promise,829,60.6,115,(名詞/動詞) 約束、約束する。,I made a **promise**.,,
potential,830,60.59,115,(形容詞/名詞) 潜在的な、可能性。,He has great **potential**.,,
energy,831,60.59,115,(名詞) エネルギー。,I have a lot of **energy** today.,,
trouble,832,60.59,115,(名詞/動詞) 面倒、困らせる。,I'm in **trouble**.,,
relation,833,60.58,114,(名詞) 関係。,What's the **relation** between them?,,
touch,834,60.56,114,(動詞/名詞) 触れる、接触。,Don't **touch** that.,,
file,835,60.56,114,(名詞/動詞) ファイル、提出する。,Please save the **file**.,,
middle,836,60.56,114,(名詞/形容詞) 真ん中、中間の。,He is in the **middle** of the room.,,
bar,837,60.55,114,(名詞) 棒、バー、酒場。,Let's go to a **bar**.,,
suffer,838,60.55,113,(動詞) 苦しむ。,He **suffers** from headaches.,,
strategy,839,60.55,113,(名詞) 戦略。,We need a new **strategy**.,,
deep,840,60.54,113,(形容詞/副詞) 深い、深く。,The water is very **deep**.,,
except,841,60.54,113,(前置詞/接続詞) ～を除いて。,Everyone came **except** him.,,
clean,842,60.54,113,(形容詞/動詞) きれいな、掃除する。,Please **clean** your room.,,
tend,843,60.54,113,(動詞) ～する傾向がある。,I **tend** to forget things.,,
advance,844,60.54,113,(動詞/名詞) 進む、進歩。,We need to **advance** our technology.,,
fill,845,60.53,113,(動詞) 満たす。,Please **fill** out the form.,,
star,846,60.52,113,(名詞) 星、スター。,Look at the **stars**.,,
network,847,60.5,112,(名詞) ネットワーク。,He has a large professional **network**.,,
generally,848,60.5,112,(副詞) 一般的に。,**Generally**, I agree with you.,
operation,849,60.49,112,(名詞) 手術、操作。,The **operation** was successful.,,
match,850,60.47,111,(名詞/動詞) 試合、マッチ、一致する。,Who won the soccer **match**?,,
avoid,851,60.47,111,(動詞) 避ける。,Please **avoid** making mistakes.,,
seat,852,60.45,111,(名詞/動詞) 席、座らせる。,Please take a **seat**.,,
throw,853,60.45,111,(動詞) 投げる。,Please **throw** the ball.,,
task,854,60.44,111,(名詞) 課題、任務。,I have many **tasks** to complete.,,
normal,855,60.43,110,(形容詞) 普通の、正常な。,It's a **normal** day.,,
goal,856,60.42,110,(名詞) 目標、ゴール。,My **goal** is to become a doctor.,,
associate,857,60.42,110,(動詞/名詞) 関連付ける、仲間。,I **associate** this song with my childhood.,,
blue,858,60.41,110,(形容詞/名詞) 青い、青。,The sky is **blue**.,,
positive,859,60.4,110,(形容詞) ポジティブな、好意的な。,Think **positive**!,,
option,860,60.4,110,(名詞) 選択肢。,You have many **options**.,,
box,861,60.39,109,(名詞) 箱。,Please put it in the **box**.,,
huge,862,60.39,109,(形容詞) 巨大な。,It was a **huge** house.,,
message,863,60.39,109,(名詞) メッセージ。,I sent him a **message**.,,
instance,864,60.38,109,(名詞) 例、場合（for instance）。,For **instance**, consider this case.,
style,865,60.38,109,(名詞) スタイル、様式。,I like her fashion **style**.,,
refer,866,60.37,109,(動詞) 参照する、言及する。,Please **refer** to the manual.,,
cold,867,60.36,109,(形容詞/名詞) 寒い、風邪。,It's **cold** outside.,,
push,868,60.36,109,(動詞/名詞) 押す、ひと押し。,Please **push** the door.,,
quarter,869,60.36,109,(名詞) 4分の1、四半期。,It's a **quarter** past three.,,
assume,870,60.34,108,(動詞) 仮定する、引き受ける。,I **assume** you are busy.,,
baby,871,60.33,108,(名詞) 赤ちゃん。,She has a cute **baby**.,,
successful,872,60.32,108,(形容詞) 成功した。,He is a **successful** businessman.,,
sing,873,60.32,108,(動詞) 歌う。,She can **sing** very well.,,
doubt,874,60.32,108,(名詞/動詞) 疑い、疑う。,I have no **doubt** about it.,,
competition,875,60.32,108,(名詞) 競争、大会。,He won the **competition**.,,
theory,876,60.31,108,(名詞) 理論。,It's a new **theory**.,,
propose,877,60.31,107,(動詞) 提案する、求婚する。,I'd like to **propose** a new idea.,,
reference,878,60.3,107,(名詞) 参照、言及。,Please use this as a **reference**.,,
argument,879,60.3,107,(名詞) 議論、口論。,They had an **argument**.,,
adult,880,60.3,107,(名詞/形容詞) 大人、大人の。,This movie is for **adults** only.,,
fly,881,60.3,107,(動詞/名詞) 飛ぶ、ハエ。,Birds can **fly**.,,
document,882,60.29,107,(名詞/動詞) 書類、記録する。,Please read this **document**.,,
pattern,883,60.29,107,(名詞) パターン、模様。,I like the **pattern** of this fabric.,,
application,884,60.28,107,(名詞) 応募、申請、応用。,I submitted my job **application**.,,
hot,885,60.28,107,(形容詞) 熱い。,It's a **hot** day.,,
obviously,886,60.28,107,(副詞) 明らかに。,**Obviously**, he is wrong.,
unclear,887,60.27,106,(形容詞) 不明瞭な。,The instructions are **unclear**.,,
bill,888,60.27,106,(名詞) 請求書、法案、紙幣。,Can I have the **bill**?,,
search,889,60.26,106,(動詞/名詞) 探す、検索。,I need to **search** for information.,,
separate,890,60.26,106,(動詞/形容詞) 分ける、別々の。,Please **separate** the items.,,
central,891,60.26,106,(形容詞) 中央の、主要な。,The **central** idea of the book.,,
career,892,60.25,106,(名詞) 経歴、キャリア。,She has a successful **career**.,,
anyway,893,60.25,106,(副詞) とにかく。,**Anyway**, let's get back to work.,
speech,894,60.24,106,(名詞) スピーチ、言葉。,He gave a good **speech**.,,
dog,895,60.24,106,(名詞) 犬。,I have a pet **dog**.,,
officer,896,60.24,106,(名詞) 役員、警官。,A police **officer** stopped me.,,
throughout,897,60.24,106,(前置詞/副詞) ～の間ずっと、～の至る所に。,He worked hard **throughout** the night.,,
oil,898,60.22,105,(名詞) 油、石油。,The car needs more **oil**.,,
dress,899,60.21,105,(名詞/動詞) ドレス、服を着る。,She wore a beautiful **dress**.,,
profit,900,60.21,105,(名詞) 利益。,The company made a huge **profit**.,,
guess,901,60.2,105,(動詞/名詞) 推測する、推測。,Can you **guess** the answer?,,
fun,902,60.2,105,(名詞/形容詞) 楽しみ、楽しい。,We had a lot of **fun**.,,
protect,903,60.2,105,(動詞) 守る。,We need to **protect** the environment.,,
resource,904,60.19,105,(名詞) 資源。,Water is a valuable **resource**.,,
science,905,60.19,104,(名詞) 科学。,I love **science**.,,
disease,906,60.19,104,(名詞) 病気。,He suffers from a serious **disease**.,,
balance,907,60.18,104,(名詞/動詞) バランス、バランスをとる。,Maintain a healthy work-life **balance**.,,
damage,908,60.18,104,(名詞/動詞) 損害、損害を与える。,The storm caused a lot of **damage**.,,
basis,909,60.18,104,(名詞) 基礎、根拠。,This decision is based on a solid **basis**.,,
author,910,60.17,104,(名詞) 著者、作家。,Who is the **author** of this book?,,
basic,911,60.17,104,(形容詞) 基本的な。,Let's start with the **basic** rules.,,
encourage,912,60.16,104,(動詞) 励ます、奨励する。,I **encourage** you to try your best.,,
hair,913,60.15,104,(名詞) 髪の毛。,She has long black **hair**.,,
male,914,60.15,103,(形容詞/名詞) 男性の、男性。,The majority of students were **male**.,,
operate,915,60.14,103,(動詞) 操作する、手術する。,Can you **operate** this machine?,,
reflect,916,60.14,103,(動詞) 反映する、熟考する。,The mirror **reflects** your image.,,
exercise,917,60.13,103,(名詞/動詞) 運動、練習、運動する。,I do **exercise** every morning.,,
useful,918,60.12,103,(形容詞) 役立つ。,This tool is very **useful**.,,
restaurant,919,60.12,103,(名詞) レストラン。,Let's go to a **restaurant**.,,
income,920,60.12,103,(名詞) 収入。,What's your annual **income**?,,
property,921,60.12,103,(名詞) 財産、不動産。,This is private **property**.,,
previous,922,60.12,103,(形容詞) 以前の。,In the **previous** chapter, we learned about...,
dark,923,60.11,103,(形容詞) 暗い。,It's getting **dark**.,,
imagine,924,60.11,102,(動詞) 想像する。,Can you **imagine** that?,,
okay,925,60.1,102,(副詞/形容詞) よろしい、大丈夫な。,Are you **okay**?,,
earn,926,60.09,102,(動詞) 稼ぐ。,He **earns** a lot of money.,,
daughter,927,60.09,102,(名詞) 娘。,She has one **daughter**.,,
post,928,60.08,102,(名詞/動詞) 郵便、柱、投稿する。,I sent a letter by **post**.,,
newspaper,929,60.07,102,(名詞) 新聞。,I read the **newspaper** every morning.,,
define,930,60.06,101,(動詞) 定義する。,How would you **define** success?,,
conclusion,931,60.05,101,(名詞) 結論。,In **conclusion**, I believe...,
clock,932,60.05,101,(名詞) 時計。,What time is it on the **clock**?,,
everybody,933,60.05,101,(代名詞) みんな。,**Everybody** loves music.,,
weekend,934,60.04,101,(名詞) 週末。,Have a good **weekend**!,,
perform,935,60.04,101,(動詞) 実行する、演じる。,He will **perform** on stage.,,
professional,936,60.04,101,(形容詞/名詞) プロの、専門家。,She is a **professional** dancer.,,
mine,937,60.04,101,(代名詞) 私のもの、鉱山。,This book is **mine**.,,
debate,938,60.03,101,(名詞/動詞) 議論、討論。,We had a heated **debate**.,,
memory,939,60.03,101,(名詞) 記憶、思い出。,I have a good **memory**.,,
green,940,60.03,101,(形容詞/名詞) 緑色の、緑。,The grass is **green**.,,
song,941,60.02,101,(名詞) 歌。,I love this **song**.,,
object,942,60,100,(名詞/動詞) 物体、目的、反対する。,What is that **object**?,,
maintain,943,60,100,(動詞) 維持する、主張する。,We need to **maintain** peace.,,
credit,944,59.99,100,(名詞/動詞) 信用、クレジット、功績。,I pay by **credit** card.,,
ring,945,59.99,100,(名詞/動詞) 指環、輪、鳴る。,She wears a beautiful **ring**.,,
discover,946,59.97,99,(動詞) 発見する。,Columbus **discovered** America.,,
dead,947,59.96,99,(形容詞) 死んだ。,He found a **dead** bird.,,
afternoon,948,59.96,99,(名詞) 午後。,Let's meet this **afternoon**.,,
prefer,949,59.96,99,(動詞) ～をより好む。,I **prefer** tea to coffee.,,
extend,950,59.95,99,(動詞) 伸ばす、延長する。,We need to **extend** the deadline.,,
possibility,951,59.95,99,(名詞) 可能性。,There's a **possibility** of rain.,,
direction,952,59.94,99,(名詞) 方向、指示。,Which **direction** should we go?,,
facility,953,59.94,99,(名詞) 施設、機能。,The hotel has a swimming pool **facility**.,,
variety,954,59.92,98,(名詞) 多様性、種類。,There is a wide **variety** of products.,,
daily,955,59.91,98,(形容詞/副詞) 毎日の、毎日。,I read the **daily** newspaper.,,
clothes,956,59.91,98,(名詞) 服。,I need to buy new **clothes**.,,
screen,957,59.9,98,(名詞) スクリーン、画面。,Look at the computer **screen**.,,
track,958,59.89,98,(名詞/動詞) 経路、線路、追跡する。,The train is on the right **track**.,,
dance,959,59.89,97,(名詞/動詞) ダンス、踊る。,Let's **dance**!,,
completely,960,59.89,97,(副詞) 完全に。,I'm **completely** exhausted.,,
female,961,59.88,97,(形容詞/名詞) 女性の、女性。,The majority of the staff are **female**.,,
responsibility,962,59.88,97,(名詞) 責任。,It's your **responsibility**.,,
original,963,59.84,96,(形容詞) 最初の、独創的な。,This is the **original** version.,,
sister,964,59.84,96,(名詞) 姉妹。,I have one **sister**.,,
rock,965,59.84,96,(名詞/動詞) 岩、ロック音楽、揺れる。,He plays **rock** music.,,
dream,966,59.84,96,(名詞/動詞) 夢、夢を見る。,I had a strange **dream**.,,
nor,967,59.82,96,(接続詞) ～もまた～ない。,Neither he **nor** I could understand.,,
university,968,59.82,96,(名詞) 大学。,I study at **university**.,,
easily,969,59.81,96,(副詞) 簡単に。,You can do it **easily**.,,
agency,970,59.81,96,(名詞) 機関、代理店。,I work for an advertising **agency**.,,
dollar,971,59.8,96,(名詞) ドル。,It costs ten **dollars**.,,
garden,972,59.79,95,(名詞) 庭。,I like to work in the **garden**.,,
fix,973,59.79,95,(動詞) 修理する、固定する。,Can you **fix** my computer?,,
ahead,974,59.78,95,(副詞) 前方に、事前に。,Go straight **ahead**.,,
cross,975,59.78,95,(動詞/名詞) 横切る、交差、十字架。,Please **cross** the street carefully.,,
yeah,976,59.77,95,(副詞) うん、はい（口語）。,**Yeah**, that's right.,
candidate,977,59.74,94,(名詞) 候補者。,He is a good **candidate** for the job.,,
weight,978,59.74,94,(名詞) 重さ、体重。,What's your **weight**?,,
legal,979,59.72,94,(形容詞) 合法の、法律の。,It's a **legal** issue.,,
proposal,980,59.71,94,(名詞) 提案。,I submitted a new **proposal**.,,
version,981,59.71,94,(名詞) 版、バージョン。,This is the latest **version**.,,
conversation,982,59.71,93,(名詞) 会話。,We had a long **conversation**.,,
somebody,983,59.7,93,(代名詞) 誰か。,**Somebody** is at the door.,,
pound,984,59.69,93,(名詞) ポンド（単位、通貨）。,It costs ten **pounds**.,,
magazine,985,59.69,93,(名詞) 雑誌。,I read a fashion **magazine**.,,
shape,986,59.69,93,(名詞/動詞) 形、形作る。,The table is in a circular **shape**.,,
sea,987,59.68,93,(名詞) 海。,I love swimming in the **sea**.,,
immediately,988,59.67,93,(副詞) 直ちに。,Please reply **immediately**.,,
welcome,989,59.67,93,(動詞/形容詞) 歓迎する、歓迎される。,You are **welcome**!,,
smile,990,59.67,93,(名詞/動詞) 笑顔、微笑む。,She has a beautiful **smile**.,,
communication,991,59.67,93,(名詞) コミュニケーション。,Good **communication** is important.,,
agent,992,59.65,92,(名詞) 代理人、エージェント。,He works as a real estate **agent**.,,
traditional,993,59.65,92,(形容詞) 伝統的な。,We celebrate **traditional** holidays.,,
replace,994,59.64,92,(動詞) 取り替える。,I need to **replace** my old phone.,,
judge,995,59.64,92,(名詞/動詞) 裁判官、判断する。,He is a fair **judge**.,,
herself,996,59.63,92,(代名詞) 彼女自身。,She did it **herself**.,,
suddenly,997,59.63,92,(副詞) 突然に。,He **suddenly** appeared.,,
generation,998,59.63,92,(名詞) 世代。,The younger **generation** is very tech-savvy.,,
estimate,999,59.63,92,(動詞/名詞) 見積もる、見積もり。,Can you give me an **estimate**?,,
favorite,1000,59.62,92,(形容詞) お気に入りの。,What's your **favorite** color?,,
difficulty,1001,59.62,92,(名詞) 困難。,I have some **difficulty** understanding this.,,
purchase,1002,59.61,91,(動詞/名詞) 購入する、購入。,I made a **purchase** online.,,
shoot,1003,59.6,91,(動詞) 撃つ、撮影する。,He can **shoot** a basketball.,,
announce,1004,59.6,91,(動詞) 発表する。,They will **announce** the winner soon.,,
unless,1005,59.6,91,(接続詞) ～しない限り。,You can't go **unless** you finish your homework.,,
independent,1006,59.59,91,(形容詞) 独立した。,She is an **independent** woman.,,
recommend,1007,59.58,91,(動詞) 推薦する、勧める。,I **recommend** this book.,,
survey,1008,59.58,91,(名詞/動詞) 調査、調査する。,We conducted a **survey**.,,
majority,1009,59.58,91,(名詞) 大多数。,The **majority** of people agreed.,,
stick,1010,59.57,91,(動詞/名詞) くっつく、棒。,Please **stick** this on the wall.,,
request,1011,59.56,90,(名詞/動詞) 要求、要求する。,I have a **request**.,,
rich,1012,59.54,90,(形容詞) 裕福な、豊かな。,He is a **rich** man.,,
wind,1013,59.54,90,(名詞/動詞) 風、巻く。,The **wind** is strong.,,
none,1014,59.53,90,(代名詞) 何も～ない、誰も～ない。,**None** of them came.,,
exchange,1015,59.52,90,(名詞/動詞) 交換、交換する。,Let's **exchange** contact information.,,
budget,1016,59.51,89,(名詞/動詞) 予算、予算を組む。,We need to stick to our **budget**.,,
famous,1017,59.51,89,(形容詞) 有名な。,He is a **famous** singer.,,
blood,1018,59.51,89,(名詞) 血。,He lost a lot of **blood**.,,
appropriate,1019,59.51,89,(形容詞) 適切な。,Please wear **appropriate** clothing.,,
block,1020,59.51,89,(名詞/動詞) ブロック、妨げる。,The road was **blocked**.,,
warm,1021,59.5,89,(形容詞/動詞) 暖かい、温める。,It's **warm** outside.,,
count,1022,59.5,89,(動詞) 数える。,Please **count** the money.,,
scene,1023,59.5,89,(名詞) 場面、光景。,It was a beautiful **scene**.,,
writer,1024,59.49,89,(名詞) 作家。,She is a good **writer**.,,
content,1025,59.49,89,(名詞/形容詞) 内容、中身、満足している。,I'm **content** with my life.,,
prevent,1026,59.48,89,(動詞) 防ぐ。,We need to **prevent** accidents.,,
safe,1027,59.47,89,(形容詞) 安全な。,Stay **safe**!,,
invite,1028,59.47,88,(動詞) 招待する。,I will **invite** her to the party.,,
mix,1029,59.46,88,(動詞/名詞) 混ぜる、混合物。,Please **mix** the ingredients.,,
element,1030,59.45,88,(名詞) 要素、元素。,Trust is a key **element** in any relationship.,,
effective,1031,59.45,88,(形容詞) 効果的な。,This medicine is very **effective**.,,
correct,1032,59.45,88,(形容詞/動詞) 正しい、訂正する。,Your answer is **correct**.,,
medical,1033,59.43,88,(形容詞) 医療の。,He needs **medical** attention.,,
admit,1034,59.42,88,(動詞) 認める、入場を許す。,I have to **admit** I was wrong.,,
beat,1035,59.42,87,(動詞/名詞) 打つ、打ち負かす、鼓動。,My heart is **beating** fast.,,
telephone,1036,59.42,87,(名詞/動詞) 電話、電話をかける。,Can I use your **telephone**?,,
copy,1037,59.41,87,(名詞/動詞) 写し、コピーする。,Please make a **copy** of this document.,,
committee,1038,59.4,87,(名詞) 委員会。,The **committee** will meet tomorrow.,,
aware,1039,59.4,87,(形容詞) 気づいている。,Are you **aware** of the risks?,,
advice,1040,59.4,87,(名詞) 助言。,Can you give me some **advice**?,,
handle,1041,59.39,87,(動詞/名詞) 扱う、取っ手。,Can you **handle** this situation?,,
glass,1042,59.39,87,(名詞) ガラス、コップ。,I need a **glass** of water.,,
trial,1043,59.38,87,(名詞) 試み、裁判。,He is on **trial** for murder.,,
stress,1044,59.38,87,(名詞/動詞) ストレス、強調する。,I feel a lot of **stress**.,,
radio,1045,59.37,86,(名詞) ラジオ。,I listen to the **radio**.,,
administration,1046,59.36,86,(名詞) 行政、管理。,The new **administration** will take office soon.,,
complex,1047,59.36,86,(形容詞) 複雑な、複合体。,It's a **complex** problem.,,
text,1048,59.35,86,(名詞/動詞) テキスト、本文、メールを送る。,I sent him a **text** message.,,
context,1049,59.35,86,(名詞) 文脈、状況。,You need to understand the **context**.,,
ride,1050,59.34,86,(動詞/名詞) 乗る、乗車。,Let's go for a **ride**.,,
directly,1051,59.34,86,(副詞) 直接に。,Please speak **directly** to him.,,
heavy,1052,59.34,86,(形容詞) 重い。,This box is very **heavy**.,,
remove,1053,59.33,86,(動詞) 取り除く。,Please **remove** your shoes.,,
conduct,1054,59.33,86,(動詞/名詞) 行う、導く、行為。,They will **conduct** a survey.,,
equipment,1055,59.33,86,(名詞) 機器、設備。,We need new **equipment**.,,
otherwise,1056,59.33,86,(副詞) さもなければ、別の方法で。,Study hard, **otherwise** you'll fail.,
title,1057,59.32,86,(名詞) タイトル、称号。,What's the **title** of the book?,,
extra,1058,59.31,85,(形容詞/副詞) 余分な、追加の。,I need some **extra** time.,,
